Date,Match,Competition,Duration,Team,Scheme,Goals,xG,Total Shots,Shot On Target,Shots On Target %,Total Passes,Accurate Passes,Accurate Passes %,"Possession, %",Total Losses,Low Losses,Medium Losses,High Losses,Total Recoveries,Low Recoveries,Medium Recoveries,High Recoveries,Total Duels,Duels Won,Duels Won %,Total Crosses,Accurate Crosses,Accurate Crosses %,Touches in penalty area,Total Offensive Duels,Offensive Duels Won,,Total Shots Against,Shots Against On Target,Shots Against On Target %,Total Defensive Duels,Defensive Duels Won,Defensive Duels Won %,Total Forward Passes,Accurate Forward Passes,Accurate Forward Passes %,Total Passes To The Final Third,Accurate Passes To The Final Third,Accurate Passes To The Final Third %,Total Progressive Passes,Accurate Progressive Passes,Accurate Progressive Passes %,Match tempo,Average passes per possession,PPDA
2025-06-18,Gamla Upsala - Bollstanäs 1:0,Sweden. Elitettan,100,Gamla Upsala,5-3-2 (62.1%),1,0.55,6,2,33.33,506,384,75.89,58.75,160,38,53,69,99,45,33,21,302,163,53.97,23,6,26.09,21,122,46,37.7,10,4,40,113,80,70.8,191,128,67.02,56,36,64.29,83,51,61.45,15.95,3.69,5.15
,,,,Bollstanäs,3-4-2-1 (84.66%),0,0.76,10,4,40,333,242,72.67,41.25,142,32,55,55,104,46,41,17,302,126,41.72,21,6,28.57,15,113,33,29.2,6,3,50,122,76,62.3,129,72,55.81,40,25,62.5,65,33,50.77,14.95,2.3,8.22
2025-06-14,Eskilstuna United - Gamla Upsala 4:0,Sweden. Elitettan,99,Gamla Upsala,4-3-1-2 (82.14%),0,0.72,10,2,20,461,355,77.01,56.76,134,29,43,62,90,37,37,16,195,99,50.77,19,6,31.58,19,56,15,26.79,12,10,83.33,91,63,69.23,164,106,64.63,51,23,45.1,68,38,55.88,15.56,3.69,7.47
,,,,Eskilstuna United,4-4-2 (77.14%),4,2.11,12,10,83.33,358,255,71.23,43.24,133,28,51,54,80,31,31,18,195,90,46.15,17,9,52.94,19,91,28,30.77,10,3,30,56,41,73.21,166,105,63.25,45,20,44.44,78,42,53.85,15.86,2.69,17.4
2025-06-07,Gamla Upsala - Umeå 0:5,Sweden. Elitettan,97,Gamla Upsala,4-3-1-2 (100.0%),0,1.4,10,1,10,409,323,78.97,42.19,125,17,54,54,84,34,31,19,200,94,47,12,5,41.67,13,63,17,26.98,17,9,52.94,96,61,63.54,152,102,67.11,44,24,54.55,70,39,55.71,16.73,3.59,8.98
,,,,Umeå,4-4-1-1 (100.0%),5,3.19,17,9,52.94,530,434,81.89,57.81,113,21,47,45,95,45,36,14,200,100,50,10,3,30,30,96,35,36.46,10,1,10,63,46,73.02,189,130,68.78,44,26,59.09,73,47,64.38,15.82,4.45,7.98
2025-05-25,Sunnanå - Gamla Upsala 2:1,Sweden. Elitettan,96,Gamla Upsala,4-3-1-2 (81.35%),1,1.68,19,5,26.32,564,445,78.9,62.07,137,20,49,68,108,33,54,21,298,151,50.67,26,9,34.62,28,131,32,24.43,10,6,60,123,101,82.11,202,140,69.31,86,61,70.93,105,79,75.24,16.77,4,5.26
,,,,Sunnanå,5-4-1 (100.0%),2,1.89,10,6,60,292,197,67.47,37.93,144,36,57,51,77,41,27,9,298,138,46.31,6,2,33.33,17,123,22,17.89,19,5,26.32,131,99,75.57,124,70,56.45,33,16,48.48,69,28,40.58,14.2,2.16,11.15
2025-05-17,Gamla Upsala - Elfsborg 2:1,Sweden. Elitettan,96,Gamla Upsala,4-3-1-2 (85.92%),2,0.58,7,4,57.14,372,264,70.97,44.76,149,44,60,45,108,66,32,10,292,130,44.52,8,3,37.5,7,101,26,25.74,25,7,28,116,76,65.52,146,90,61.64,39,22,56.41,78,32,41.03,15.89,2.58,11.54
,,,,Elfsborg,4-2-3-1 (100.0%),1,3.25,25,7,28,465,342,73.55,55.24,156,13,57,86,120,33,55,32,292,150,51.37,23,6,26.09,37,116,40,34.48,7,4,57.14,101,75,74.26,165,107,64.85,57,38,66.67,79,54,68.35,16.09,2.87,6.31
2025-05-10,Häcken II - Gamla Upsala 5:1,Sweden. Elitettan,93,Gamla Upsala,4-3-1-2 (100.0%),1,0.61,5,2,40,335,252,75.22,34.3,110,28,41,41,78,39,30,9,238,114,47.9,13,2,15.38,8,66,15,22.73,21,16,76.19,125,80,64,122,81,66.39,38,27,71.05,67,35,52.24,17.09,3.19,9
,,,,Häcken II,4-3-3 (100.0%),5,4.51,21,13,61.9,510,426,83.53,65.7,114,14,34,66,97,34,36,27,238,116,48.74,20,6,30,46,125,45,36,5,2,40,66,51,77.27,173,135,78.03,55,37,67.27,92,72,78.26,13.59,3.83,8.07
2025-05-03,Uppsala - Gamla Upsala 2:2,Sweden. Elitettan,97,Gamla Upsala,4-1-3-2 (100.0%),2,0.53,4,3,75,288,170,59.03,43.14,151,47,61,43,80,42,31,7,287,139,48.43,8,4,50,6,92,20,21.74,16,8,50,125,85,68,132,57,43.18,51,18,35.29,69,27,39.13,13.79,2.18,7.59
,,,,Uppsala,4-3-3 (100.0%),2,3.25,16,7,43.75,425,312,73.41,56.86,156,11,53,92,103,29,51,23,287,136,47.39,31,8,25.81,34,125,40,32,4,3,75,92,72,78.26,178,124,69.66,65,43,66.15,96,72,75,15.43,2.8,6.31
2025-04-26,Gamla Upsala - Trelleborgs 1:2,Sweden. Elitettan,95,Gamla Upsala,4-3-1-2 (79.08%),1,0.78,7,2,28.57,435,336,77.24,47.44,117,21,46,50,94,44,39,11,234,127,54.27,19,5,26.32,13,80,28,35,9,7,77.78,102,72,70.59,147,105,71.43,46,30,65.22,80,46,57.5,15.88,3.88,11.72
,,,,Trelleborgs,4-2-3-1 (100.0%),2,0.99,9,7,77.78,524,431,82.25,52.56,130,17,61,52,89,41,37,11,234,100,42.74,9,2,22.22,18,102,30,29.41,7,2,28.57,80,52,65,173,123,71.1,46,32,69.57,86,55,63.95,17.27,4.03,9.03
2025-04-18,Jitex - Gamla Upsala 4:3,Sweden. Elitettan,93,Gamla Upsala,4-3-1-2 (100.0%),3,2.15,17,8,47.06,470,358,76.17,58.38,169,37,65,67,119,64,40,15,279,147,52.69,13,4,30.77,9,100,30,30,20,12,60,114,79,69.3,190,124,65.26,64,35,54.69,97,53,54.64,15.37,3.24,7.2
,,,,Jitex,3-4-1-2 (100.0%),4,1.81,20,12,60,330,218,66.06,41.62,165,20,58,87,100,38,46,16,279,120,43.01,14,4,28.57,27,114,35,30.7,17,8,47.06,100,70,70,165,92,55.76,80,42,52.5,77,48,62.34,15.14,2.43,8.95
2025-04-12,Gamla Upsala - KIF Örebro 2:5,Sweden. Elitettan,94,Gamla Upsala,4-3-3 (100.0%),2,1.78,13,4,30.77,355,258,72.68,38.78,120,16,47,57,81,34,37,10,216,99,45.83,22,8,36.36,20,68,22,32.35,16,9,56.25,110,62,56.36,162,105,64.81,59,34,57.63,75,48,64,16.28,3.09,9.16
,,,,KIF Örebro,4-1-3-2 (100.0%),5,3.56,16,9,56.25,530,440,83.02,61.22,124,18,56,50,93,46,35,12,216,111,51.39,7,3,42.86,22,110,48,43.64,13,5,38.46,68,46,67.65,192,139,72.4,49,29,59.18,78,53,67.95,15.39,4.08,7.97
