Date,Match,Competition,Duration,Team,Scheme,Goals,xG,Total Shots,Shot On Target,Shots On Target %,Total Passes,Accurate Passes,Accurate Passes %,"Possession, %",Total Losses,Low Losses,Medium Losses,High Losses,Total Recoveries,Low Recoveries,Medium Recoveries,High Recoveries,Total Duels,Duels Won,Duels Won %,Total Crosses,Accurate Crosses,Accurate Crosses %,Touches in penalty area,Total Offensive Duels,Offensive Duels Won,,Total Shots Against,Shots Against On Target,Shots Against On Target %,Total Defensive Duels,Defensive Duels Won,Defensive Duels Won %,Total Forward Passes,Accurate Forward Passes,Accurate Forward Passes %,Total Passes To The Final Third,Accurate Passes To The Final Third,Accurate Passes To The Final Third %,Total Progressive Passes,Accurate Progressive Passes,Accurate Progressive Passes %,Match tempo,Average passes per possession,PPDA
,,,,Team TG FF,4-4-2 (85.0%),0,1.28,13,1,7.69,163,97,59.51,27.3,114,36,46,32,59,32,14,13,218,113,51.83,4,1,25,20,66,18,27.27,21,6,28.57,98,65,66.33,96,49,51.04,19,7,36.84,51,23,45.1,13.7,1.52,13.58
2025-06-19,Mallbacken - Uppsala 0:2,Sweden. Elitettan,97,Uppsala,3-5-2 (100.0%),2,4.68,17,6,35.29,283,168,59.36,48.05,155,15,58,82,106,30,52,24,296,145,48.99,25,8,32,40,120,43,35.83,4,0,0,101,72,71.29,151,78,51.66,54,19,35.19,73,44,60.27,14.23,1.98,3.84
,,,,Mallbacken,4-1-4-1 (100.0%),0,0.32,4,0,0,288,181,62.85,51.95,168,39,81,48,90,48,34,8,296,135,45.61,8,4,50,11,101,29,28.71,17,8,47.06,120,77,64.17,133,70,52.63,37,16,43.24,84,36,42.86,13.39,1.93,7.9
2025-06-11,Uppsala - Trelleborgs 4:1,Sweden. Elitettan,95,Uppsala,3-5-2 (100.0%),4,3.63,23,11,47.83,376,276,73.4,54.67,144,7,51,86,124,44,52,28,217,114,52.53,22,6,27.27,38,83,31,37.35,11,4,36.36,78,59,75.64,159,104,65.41,69,47,68.12,88,69,78.41,14.21,2.72,5.44
,,,,Trelleborgs,4-2-3-1 (85.8%),1,1.38,11,4,36.36,355,244,68.73,45.33,167,41,69,57,87,41,40,6,217,92,42.4,15,4,26.67,25,78,19,24.36,23,11,47.83,83,52,62.65,171,98,57.31,46,23,50,83,46,55.42,16.17,2.48,6.47
2025-06-08,Uppsala - Örebro SK 3:1,Sweden. Elitettan,97,Uppsala,3-5-2 (100.0%),3,2.39,18,6,33.33,505,386,76.44,64.29,147,16,53,78,108,36,57,15,259,131,50.58,29,9,31.03,37,131,42,32.06,9,2,22.22,75,58,77.33,212,144,67.92,85,48,56.47,98,72,73.47,14.36,3.98,4.76
,,,,Örebro SK,3-4-3 (100.0%),1,1.46,9,2,22.22,268,162,60.45,35.71,155,29,76,50,85,40,39,6,259,124,47.88,11,4,36.36,13,75,17,22.67,18,6,33.33,131,89,67.94,136,67,49.26,30,9,30,71,37,52.11,13.72,2.16,14.3
2025-05-24,Umeå - Uppsala 2:0,Sweden. Elitettan,97,Uppsala,3-5-2 (100.0%),0,1.93,15,3,20,459,354,77.12,58.91,133,19,47,67,106,36,44,26,258,136,52.71,24,10,41.67,35,89,29,32.58,12,6,50,89,64,71.91,178,122,68.54,74,55,74.32,100,73,73,15.29,3.48,6.06
,,,,Umeå,4-3-3 (100.0%),2,2.23,12,6,50,311,217,69.77,41.09,140,43,52,45,91,47,32,12,258,113,43.8,18,10,55.56,26,89,25,28.09,15,3,20,89,60,67.42,148,94,63.51,44,28,63.64,101,61,60.4,14.85,2.45,12.78
2025-05-17,Häcken II - Uppsala 0:2,Sweden. Elitettan,94,Uppsala,4-3-3 (100.0%),2,1.96,17,6,35.29,322,208,64.6,43.37,141,11,40,90,100,27,44,29,292,141,48.29,27,11,40.74,38,105,31,29.52,4,2,50,145,92,63.45,141,73,51.77,58,24,41.38,52,34,65.38,15.65,2.33,5
,,,,Häcken II,4-3-1-2 (100.0%),0,0.67,4,2,50,356,240,67.42,56.63,161,52,61,48,101,63,32,6,292,147,50.34,10,2,20,13,145,53,36.55,17,7,41.18,105,74,70.48,164,89,54.27,50,16,32,90,34,37.78,13.25,2.33,4.53
2025-05-11,Uppsala - Jitex 3:1,Sweden. Elitettan,97,Uppsala,4-3-3 (100.0%),3,4.62,24,7,29.17,534,425,79.59,59.52,140,23,50,67,111,40,45,26,278,128,46.04,28,10,35.71,46,110,38,34.55,12,4,33.33,88,56,63.64,222,160,72.07,71,51,71.83,99,72,72.73,17.11,4.38,4.54
,,,,Jitex,3-5-2 (100.0%),1,1.32,12,3,25,290,185,63.79,40.48,165,43,66,56,101,44,42,15,278,142,51.08,14,4,28.57,13,88,32,36.36,24,8,33.33,110,72,65.45,139,72,51.8,40,20,50,75,41,54.67,13.66,2.28,9.61
2025-05-03,Uppsala - Gamla Upsala 2:2,Sweden. Elitettan,97,Uppsala,4-3-3 (100.0%),2,3.25,16,7,43.75,425,312,73.41,56.86,156,11,53,92,103,29,51,23,287,136,47.39,31,8,25.81,34,125,40,32,4,3,75,92,72,78.26,178,124,69.66,65,43,66.15,96,72,75,15.43,2.8,6.31
,,,,Gamla Upsala,4-1-3-2 (100.0%),2,0.53,4,3,75,288,170,59.03,43.14,151,47,61,43,80,42,31,7,287,139,48.43,8,4,50,6,92,20,21.74,16,8,50,125,85,68,132,57,43.18,51,18,35.29,69,27,39.13,13.79,2.18,7.59
2025-04-25,KIF Örebro - Uppsala 1:2,Sweden. Elitettan,94,Uppsala,3-4-1-2 (100.0%),2,1.82,12,5,41.67,381,279,73.23,53.73,137,17,52,68,90,23,48,19,280,141,50.36,20,7,35,23,110,34,30.91,10,2,20,99,77,77.78,152,96,63.16,50,31,62,79,49,62.03,14.67,2.7,5.4
,,,,KIF Örebro,4-2-3-1 (85.86%),1,1.61,10,2,20,326,217,66.56,46.27,158,27,90,41,83,46,30,7,280,131,46.79,6,3,50,21,99,22,22.22,12,5,41.67,110,76,69.09,156,82,52.56,37,23,62.16,81,42,51.85,14.58,2.38,7.37
2025-04-18,Elfsborg - Uppsala 2:2,Sweden. Elitettan,99,Uppsala,3-5-2 (100.0%),2,0.98,10,4,40,403,295,73.2,56.98,154,17,54,83,100,28,50,22,331,147,44.41,17,6,35.29,22,137,34,24.82,12,6,50,103,75,72.82,166,110,66.27,74,43,58.11,79,65,82.28,14.82,2.8,2.85
,,,,Elfsborg,4-1-3-2 (100.0%),2,1.38,12,6,50,281,184,65.48,43.02,146,44,65,37,105,54,41,10,331,161,48.64,11,4,36.36,20,103,28,27.18,10,5,50,137,103,75.18,131,76,58.02,37,20,54.05,66,31,46.97,13.69,2.27,5.85
2025-04-11,Uppsala - Eskilstuna United 4:1,Sweden. Elitettan,99,Uppsala,3-5-2 (100.0%),4,1.28,8,4,50,328,223,67.99,53.25,136,28,48,60,94,40,37,17,294,150,51.02,20,6,30,27,97,42,43.3,16,6,37.5,118,75,63.56,152,98,64.47,44,28,63.64,76,41,53.95,14.38,2.43,3.89
,,,,Eskilstuna United,3-4-1-2 (100.0%),1,2.39,16,6,37.5,275,168,61.09,46.75,141,31,50,60,95,43,31,21,294,132,44.9,18,6,33.33,27,118,43,36.44,8,5,62.5,97,55,56.7,118,61,51.69,41,19,46.34,76,40,52.63,13.74,2.04,5.08
